dataset	peyronie_comparison	gene_symbol	in_peyronie_universe	ed_logFC	ed_FDR	ed_direction	peyronie_logFC	peyronie_FDR	signed_sqrt_F	rank_desc	rank_abs	rank_percentile_up	same_direction_as_ed
GSE126005	PD_plaque_vs_control	ADAMTS4	TRUE	4.19494894732916	0.00358204745362855	up_in_diabetic_ED	3.77136316003674	0.00517900770177687	6.51189210432954	53	74	0.997407388941517	TRUE
GSE126005	PD_plaque_vs_control	CYR61	TRUE	2.41411122597973	0.0351823510327688	up_in_diabetic_ED	0.981847045744983	0.184421260863454	2.19217865348753	2805	5132	0.860198434461784	TRUE
GSE126005	PD_plaque_vs_control	ERAP2	TRUE	-3.63303730128362	0.0220113606267881	down_in_diabetic_ED	-0.307417170771327	0.751824380448663	-0.596074365245894	12516	14984	0.376028319290023	TRUE
GSE126005	PD_plaque_vs_control	IL6	TRUE	4.6866998230421	0.00358204745362855	up_in_diabetic_ED	4.71502349400846	0.0115701471458889	5.11829504032621	243	342	0.987934386997058	TRUE
GSE126005	PD_plaque_vs_control	MT1A	FALSE	2.80556449196479	0.0215447647591949	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE126005	PD_plaque_vs_control	NR4A1	TRUE	2.97628852226847	0.0220113606267881	up_in_diabetic_ED	1.05576841721675	0.181204271649962	2.20806696736423	2772	5071	0.861843745325821	TRUE
GSE126005	PD_plaque_vs_control	NR4A2	TRUE	3.19462318338481	0.0215447647591949	up_in_diabetic_ED	0.702779143934927	0.413197175695977	1.36071482549556	4889	9557	0.756294560502568	TRUE
GSE126005	PD_plaque_vs_control	NR4A3	TRUE	3.95583264539962	0.00358204745362855	up_in_diabetic_ED	-0.0987029381189641	0.930181439672566	-0.185256925363211	10736	18464	0.464775390138106	FALSE
GSE126005	PD_plaque_vs_control	PI15	TRUE	3.6853314227566	0.00544700201581321	up_in_diabetic_ED	-0.0600558839825462	0.949680527916162	-0.136903667996942	10530	18871	0.475046118562098	FALSE
GSE126005	PD_plaque_vs_control	PLA2G2A	TRUE	3.66087810935056	0.00800464918238329	up_in_diabetic_ED	2.98673437918866	0.00798264892608814	5.62626625044668	145	205	0.9928204616842	TRUE
GSE126005	PD_plaque_vs_control	RGS16	TRUE	2.4128744373486	0.0488085296727281	up_in_diabetic_ED	2.78476903723127	0.012782289137629	4.94493896746833	293	416	0.985441491748517	TRUE
GSE126005	PD_plaque_vs_control	SH3BP5	TRUE	2.78686638617908	0.0133848419732999	up_in_diabetic_ED	0.212668571131077	0.368202097654454	1.48912470288753	4490	8740	0.77618786458593	TRUE
GSE146500	PF_vs_NF	ADAMTS4	TRUE	4.19494894732916	0.00358204745362855	up_in_diabetic_ED	3.79297598888765	4.83169934909777e-13	25.7435458465351	251	516	0.98435348604331	TRUE
GSE146500	PF_vs_NF	CYR61	TRUE	2.41411122597973	0.0351823510327688	up_in_diabetic_ED	2.47533610862937	1.97459463885272e-14	32.7299865834418	138	275	0.991425710351734	TRUE
GSE146500	PF_vs_NF	ERAP2	TRUE	-3.63303730128362	0.0220113606267881	down_in_diabetic_ED	-0.406753071797038	0.0100027933453253	-3.14255455894127	10811	9995	0.323444736512705	TRUE
GSE146500	PF_vs_NF	IL6	TRUE	4.6866998230421	0.00358204745362855	up_in_diabetic_ED	7.28882330578444	3.93816195835947e-17	54.1835798163413	28	45	0.998310176492677	TRUE
GSE146500	PF_vs_NF	MT1A	TRUE	2.80556449196479	0.0215447647591949	up_in_diabetic_ED	0.0637851157878863	0.90037431390445	0.150745679201698	7799	15654	0.511953936662912	TRUE
GSE146500	PF_vs_NF	NR4A1	TRUE	2.97628852226847	0.0220113606267881	up_in_diabetic_ED	1.56648011602031	1.90025957514468e-07	9.6685169024985	1588	3461	0.900675929402929	TRUE
GSE146500	PF_vs_NF	NR4A2	TRUE	3.19462318338481	0.0215447647591949	up_in_diabetic_ED	-1.77960967892499	2.09680752904412e-07	-9.59214342000633	14081	3506	0.118788333959194	FALSE
GSE146500	PF_vs_NF	NR4A3	TRUE	3.95583264539962	0.00358204745362855	up_in_diabetic_ED	-0.665460134760625	0.03172450488913	-2.53883875600694	10341	11007	0.352860182751283	FALSE
GSE146500	PF_vs_NF	PI15	FALSE	3.6853314227566	0.00544700201581321	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PF_vs_NF	PLA2G2A	FALSE	3.66087810935056	0.00800464918238329	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PF_vs_NF	RGS16	TRUE	2.4128744373486	0.0488085296727281	up_in_diabetic_ED	2.25953609459575	6.91155455600794e-06	7.15927058590181	2406	5165	0.849480535736638	TRUE
GSE146500	PF_vs_NF	SH3BP5	TRUE	2.78686638617908	0.0133848419732999	up_in_diabetic_ED	-0.127126619237861	0.0479869663731441	-2.31323442316028	10144	11404	0.365189635749155	FALSE
GSE146500	PFPC_vs_NF	ADAMTS4	TRUE	4.19494894732916	0.00358204745362855	up_in_diabetic_ED	4.37699668089822	3.84987083248339e-14	31.3520219456174	145	287	0.990987607960946	TRUE
GSE146500	PFPC_vs_NF	CYR61	TRUE	2.41411122597973	0.0351823510327688	up_in_diabetic_ED	1.5857605884379	6.16602546851352e-12	21.4240192289954	332	722	0.979284015521342	TRUE
GSE146500	PFPC_vs_NF	ERAP2	TRUE	-3.63303730128362	0.0220113606267881	down_in_diabetic_ED	-0.506608854499595	0.00266411326727878	-3.84230969172067	11570	8541	0.275941920140193	TRUE
GSE146500	PFPC_vs_NF	IL6	TRUE	4.6866998230421	0.00358204745362855	up_in_diabetic_ED	6.19915801210716	1.35014211480628e-15	40.9329297756303	70	120	0.995681562147953	TRUE
GSE146500	PFPC_vs_NF	MT1A	TRUE	2.80556449196479	0.0215447647591949	up_in_diabetic_ED	0.725073154196239	0.10019370830666	1.91111235964825	5836	11817	0.634810364250845	TRUE
GSE146500	PFPC_vs_NF	NR4A1	TRUE	2.97628852226847	0.0220113606267881	up_in_diabetic_ED	-0.652444121358956	0.0169885280175976	-2.88750869457366	10825	10036	0.32256853173113	FALSE
GSE146500	PFPC_vs_NF	NR4A2	TRUE	3.19462318338481	0.0215447647591949	up_in_diabetic_ED	-1.27406155477303	5.11209304892391e-06	-7.38618289575731	13498	4612	0.155276004506196	FALSE
GSE146500	PFPC_vs_NF	NR4A3	TRUE	3.95583264539962	0.00358204745362855	up_in_diabetic_ED	-1.26359354832095	0.00104372597812872	-4.33053920219517	11906	7851	0.254913005382401	FALSE
GSE146500	PFPC_vs_NF	PI15	FALSE	3.6853314227566	0.00544700201581321	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_NF	PLA2G2A	FALSE	3.66087810935056	0.00800464918238329	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_NF	RGS16	TRUE	2.4128744373486	0.0488085296727281	up_in_diabetic_ED	2.62592047445266	6.58048104573876e-07	8.82225649766037	1632	3615	0.897922142946551	TRUE
GSE146500	PFPC_vs_NF	SH3BP5	TRUE	2.78686638617908	0.0133848419732999	up_in_diabetic_ED	-0.25486627355657	0.000598277745465238	-4.61834093373015	12069	7487	0.244711478282639	FALSE
GSE146500	PFPC_vs_PF	ADAMTS4	TRUE	4.19494894732916	0.00358204745362855	up_in_diabetic_ED	0.584020692010572	0.000589359816558764	6.0917294594317	186	409	0.988421579672049	TRUE
GSE146500	PFPC_vs_PF	CYR61	TRUE	2.41411122597973	0.0351823510327688	up_in_diabetic_ED	-0.889575520191466	4.85750679866605e-07	-12.3922897846699	15960	39	0.0011891350607085	FALSE
GSE146500	PFPC_vs_PF	ERAP2	TRUE	-3.63303730128362	0.0220113606267881	down_in_diabetic_ED	-0.0998557827025568	0.754563642624211	-0.684670879245376	10677	10655	0.331831267993491	TRUE
GSE146500	PFPC_vs_PF	IL6	TRUE	4.6866998230421	0.00358204745362855	up_in_diabetic_ED	-1.08966529367728	7.19904362389852e-08	-15.4753364010268	15972	10	0.000438102390787343	FALSE
GSE146500	PFPC_vs_PF	MT1A	TRUE	2.80556449196479	0.0215447647591949	up_in_diabetic_ED	0.661288038408352	0.370478352917988	1.62354146306515	2709	5346	0.830516960821129	TRUE
GSE146500	PFPC_vs_PF	NR4A1	TRUE	2.97628852226847	0.0220113606267881	up_in_diabetic_ED	-2.21892423737927	1.03642071542168e-06	-11.4663265418076	15949	56	0.0018775816748029	FALSE
GSE146500	PFPC_vs_PF	NR4A2	TRUE	3.19462318338481	0.0215447647591949	up_in_diabetic_ED	0.505548124151967	0.209793720717055	2.16578477181735	1760	3477	0.889911127800726	TRUE
GSE146500	PFPC_vs_PF	NR4A3	TRUE	3.95583264539962	0.00358204745362855	up_in_diabetic_ED	-0.598133413560328	0.334291282997536	-1.73665565711938	13574	4856	0.150519464263362	FALSE
GSE146500	PFPC_vs_PF	PI15	FALSE	3.6853314227566	0.00544700201581321	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_PF	PLA2G2A	FALSE	3.66087810935056	0.00800464918238329	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_PF	RGS16	TRUE	2.4128744373486	0.0488085296727281	up_in_diabetic_ED	0.366384379856906	0.374318096525281	1.6113500086974	2742	5402	0.828451620978846	TRUE
GSE146500	PFPC_vs_PF	SH3BP5	TRUE	2.78686638617908	0.0133848419732999	up_in_diabetic_ED	-0.127739654318709	0.180289862993465	-2.28969334574013	14409	3180	0.0982601076480161	FALSE
